ax,ay,az,dx,dy,dz,x,y,z
-29.725, -8.248, 4.362, -0.056, 2.920, -1.640, -0.046, 0.007, 0.005
-30.805, -8.181, 1.092, 0.088, 3.543, -1.570, -0.048, 0.006, 0.005
-31.291, -7.969, -3.031, -0.495, 2.015, -1.353, -0.050, 0.006, 0.005
-31.159, -9.376, -7.702, -0.620, 2.220, -1.355, -0.052, 0.005, 0.005
-30.624, -11.024, -12.980, -0.846, 2.564, -1.548, -0.055, 0.004, 0.004
-29.365, -14.280, -17.357, -0.936, 2.541, -1.560, -0.057, 0.003, 0.002
-27.780, -17.500, -20.850, -0.862, 2.190, -1.359, -0.059, 0.002, 0.001
-25.755, -19.292, -24.322, -0.968, 2.356, -1.434, -0.061, 0.001, -0.001
-23.701, -19.476, -27.746, -0.821, 1.977, -1.151, -0.063, -0.001, -0.003
-21.538, -19.924, -30.531, -0.712, 1.836, -1.032, -0.064, -0.002, -0.005
-19.050, -19.968, -33.885, -0.639, 1.890, -1.008, -0.066, -0.004, -0.007
-17.043, -20.010, -36.461, -0.495, 1.691, -0.831, -0.067, -0.005, -0.010
-14.529, -18.799, -39.546, -0.356, 1.311, -0.559, -0.068, -0.006, -0.013
-12.363, -17.219, -41.941, -0.456, 1.238, -0.446, -0.069, -0.008, -0.016
-9.725, -15.039, -43.198, -0.494, 0.865, -0.252, -0.070, -0.009, -0.019
-8.811, -11.644, -43.432, -0.582, 0.685, -0.144, -0.070, -0.010, -0.022
-7.155, -9.266, -43.895, -0.477, 0.354, -0.046, -0.071, -0.010, -0.025
-6.353, -6.012, -44.322, -0.423, 0.096, -0.004, -0.071, -0.011, -0.029
-6.117, -4.295, -43.402, -0.296, -0.193, -0.001, -0.072, -0.011, -0.031
-7.114, -2.932, -42.568, -0.243, -0.521, -0.017, -0.072, -0.011, -0.035
-7.257, -1.232, -42.148, -0.392, -0.736, -0.055, -0.073, -0.012, -0.038
-8.005, -2.268, -39.743, -0.667, -1.138, -0.140, -0.074, -0.012, -0.041
-9.230, -5.154, -38.255, -0.579, -1.268, -0.199, -0.074, -0.012, -0.043
-11.033, -9.324, -36.475, -0.475, -1.703, -0.260, -0.075, -0.013, -0.046
-13.592, -12.656, -36.049, -0.356, -1.964, -0.220, -0.076, -0.014, -0.049
-16.113, -13.780, -37.371, -0.293, -1.971, -0.102, -0.077, -0.015, -0.052
-19.012, -14.200, -39.571, -0.279, -2.220, -0.002, -0.078, -0.016, -0.054
-23.608, -15.749, -41.647, -0.355, -2.807, 0.094, -0.080, -0.017, -0.057
-28.579, -17.863, -43.686, -0.400, -2.802, 0.197, -0.082, -0.018, -0.060
-34.909, -19.456, -43.149, -0.694, -3.537, 0.415, -0.085, -0.019, -0.064
-39.999, -17.871, -36.196, -1.208, -3.951, 0.726, -0.088, -0.021, -0.067
-39.999, -15.235, -23.261, -1.491, -3.879, 0.980, -0.090, -0.022, -0.068
-39.999, -9.629, -8.033, -1.642, -4.262, 1.359, -0.093, -0.023, -0.069
-39.999, 0.837, 7.576, -1.420, -4.411, 1.948, -0.096, -0.023, -0.069
