ax,ay,az,dx,dy,dz,x,y,z
-24.129, 16.272, 29.671, 0.133, 1.741, -0.721, -0.016, 0.013, 0.026
-26.279, 10.311, 29.671, 0.172, 1.791, -0.835, -0.017, 0.013, 0.028
-28.591, 6.175, 29.315, 0.220, 2.031, -0.926, -0.019, 0.014, 0.029
-31.546, 4.384, 26.669, 0.318, 2.546, -1.049, -0.022, 0.014, 0.032
-34.082, 4.784, 22.616, 0.322, 2.816, -1.024, -0.024, 0.014, 0.033
-36.529, 5.060, 17.030, 0.223, 2.749, -0.916, -0.027, 0.015, 0.035
-38.832, 4.544, 10.808, 0.147, 2.988, -0.951, -0.029, 0.015, 0.035
-39.953, 3.424, 5.249, 0.096, 3.645, -1.130, -0.032, 0.015, 0.036
-39.999, 3.382, -1.327, 0.340, 2.178, -1.042, -0.035, 0.016, 0.036
-39.999, 2.868, -5.976, 0.396, 3.113, -1.208, -0.038, 0.016, 0.035
-39.999, 3.630, -8.805, 0.623, 3.192, -1.201, -0.041, 0.016, 0.035
-39.999, 5.148, -11.700, 0.834, 2.873, -1.046, -0.044, 0.016, 0.034
-39.999, 8.760, -16.004, 0.783, 2.908, -1.038, -0.046, 0.017, 0.033
-39.999, 8.855, -21.873, 0.694, 3.268, -1.293, -0.050, 0.018, 0.031
-39.980, 5.130, -27.147, 0.504, 3.205, -1.462, -0.053, 0.018, 0.029
-37.592, 1.586, -33.506, 0.418, 2.746, -1.431, -0.055, 0.018, 0.027
-33.274, -2.565, -39.088, -0.332, 2.913, -1.682, -0.058, 0.018, 0.024
-29.168, -6.451, -43.299, -0.231, 2.373, -1.514, -0.060, 0.018, 0.021
-25.514, -9.409, -46.221, -0.152, 2.387, -1.669, -0.062, 0.017, 0.018
-21.477, -11.055, -47.500, 0.039, 1.847, -1.414, -0.063, 0.016, 0.015
-18.172, -12.436, -48.589, 0.321, 1.760, -1.496, -0.065, 0.015, 0.011
-14.689, -15.412, -48.799, 0.585, 1.286, -1.248, -0.066, 0.014, 0.008
-12.258, -19.904, -48.799, 0.855, 1.120, -1.284, -0.067, 0.013, 0.004
-10.141, -23.718, -48.799, 0.830, 0.683, -0.992, -0.068, 0.011, 0.001
-8.003, -29.060, -48.799, 0.838, 0.394, -0.895, -0.068, 0.009, -0.003
-6.820, -32.422, -48.799, 0.806, -0.003, -0.608, -0.069, 0.007, -0.007
-6.730, -34.833, -48.799, 0.641, -0.366, -0.243, -0.069, 0.004, -0.010
-6.996, -34.814, -48.799, 0.581, -0.738, 0.075, -0.070, 0.002, -0.014
-9.090, -33.807, -48.799, 0.597, -1.264, 0.438, -0.071, -0.001, -0.018
-11.951, -30.977, -44.031, 0.521, -1.676, 0.774, -0.071, -0.003, -0.021
-15.049, -27.908, -38.330, 0.441, -1.807, 0.942, -0.072, -0.005, -0.024
-18.474, -26.163, -33.909, 0.509, -2.330, 1.284, -0.074, -0.007, -0.026
-21.798, -25.161, -29.818, 0.483, -2.313, 1.315, -0.075, -0.009, -0.028
-25.477, -24.548, -25.889, 0.519, -2.538, 1.487, -0.077, -0.010, -0.030
-29.267, -23.743, -22.481, 0.574, -3.086, 1.879, -0.079, -0.012, -0.032
-33.493, -22.974, -19.230, 0.449, -3.306, 2.096, -0.082, -0.014, -0.034
-37.399, -21.906, -14.306, 0.237, -3.149, 2.075, -0.084, -0.016, -0.035
-39.999, -19.706, -8.328, 0.021, -3.800, 2.628, -0.087, -0.017, -0.035
-39.999, -11.394, -1.568, -0.530, -3.986, 2.651, -0.090, -0.018, -0.036
-39.999, -3.998, 7.432, -0.295, -3.459, 3.301, -0.093, -0.018, -0.035
-39.999, 3.938, 19.928, -0.125, -3.191, 3.144, -0.096, -0.018, -0.034
-39.999, 13.076, 29.658, 0.372, -3.540, 3.694, -0.099, -0.017, -0.032
-39.999, 25.881, 29.671, 0.572, -2.976, 3.320, -0.101, -0.016, -0.030
-37.946, 38.948, 29.671, 0.881, -3.105, 3.564, -0.105, -0.013, -0.027
-32.194, 39.205, 29.671, 0.930, -2.504, 2.785, -0.107, -0.010, -0.025
-25.142, 39.205, 29.671, 0.995, -2.456, 2.477, -0.109, -0.007, -0.023
-19.009, 39.205, 29.671, 0.834, -1.792, 1.552, -0.110, -0.005, -0.021
-13.988, 39.205, 29.671, 0.860, -1.552, 1.037, -0.111, -0.002, -0.019
-11.075, 31.659, 29.671, 0.712, -1.040, 0.437, -0.112, 0.001, -0.017
-9.289, 23.439, 29.671, 0.764, -0.943, 0.180, -0.113, 0.003, -0.014
-8.813, 18.921, 29.671, 0.671, -0.693, 0.034, -0.113, 0.004, -0.013
-8.486, 19.732, 29.671, 0.756, -0.544, -0.008, -0.114, 0.005, -0.010
-8.045, 23.312, 29.671, 0.730, -0.212, -0.057, -0.115, 0.007, -0.008
-7.669, 27.094, 29.258, 0.637, 0.109, -0.172, -0.115, 0.009, -0.006
-7.790, 28.676, 21.399, 0.627, 0.333, -0.374, -0.116, 0.011, -0.004
-8.082, 28.622, 14.492, 0.665, 0.536, -0.695, -0.116, 0.013, -0.003
-8.589, 28.302, 9.117, 0.537, 0.559, -0.856, -0.117, 0.015, -0.003
-9.343, 28.424, 5.974, 0.489, 0.690, -1.215, -0.118, 0.017, -0.002
-11.142, 29.228, 4.460, 0.289, 0.754, -1.476, -0.119, 0.020, -0.002
