ax,ay,az,dx,dy,dz,x,y,z
-5.867, 7.688, -23.656, -0.153, 0.704, -0.178, -0.100, -0.009, -0.011
-5.270, 5.980, -23.803, -0.169, 0.660, -0.319, -0.100, -0.009, -0.013
-4.769, 4.575, -23.181, -0.142, 0.470, -0.365, -0.101, -0.008, -0.014
-4.219, 3.398, -22.873, -0.122, 0.404, -0.475, -0.101, -0.008, -0.016
-3.939, 2.672, -22.323, -0.076, 0.260, -0.462, -0.101, -0.008, -0.017
-3.533, 2.242, -22.283, -0.073, 0.188, -0.558, -0.101, -0.008, -0.019
-3.417, 2.321, -22.575, -0.072, 0.073, -0.510, -0.102, -0.007, -0.021
-3.009, 3.101, -23.121, -0.108, -0.031, -0.594, -0.102, -0.007, -0.022
-2.855, 3.550, -23.712, -0.149, -0.145, -0.623, -0.102, -0.007, -0.024
-2.812, 4.937, -24.797, -0.166, -0.239, -0.585, -0.102, -0.007, -0.026
-2.944, 5.704, -26.361, -0.169, -0.360, -0.634, -0.103, -0.006, -0.028
-3.423, 7.185, -27.239, -0.207, -0.554, -0.786, -0.103, -0.006, -0.030
-3.764, 7.154, -29.432, -0.113, -0.723, -0.876, -0.103, -0.005, -0.032
-4.995, 7.938, -31.815, -0.053, -0.812, -0.861, -0.103, -0.005, -0.034
-6.048, 9.232, -35.404, -0.103, -0.999, -0.946, -0.104, -0.004, -0.036
-7.985, 11.970, -39.247, -0.285, -1.372, -1.162, -0.104, -0.003, -0.040
-10.846, 13.457, -44.249, -0.468, -1.671, -1.317, -0.105, -0.002, -0.043
-15.483, 12.918, -48.720, -0.572, -1.810, -1.340, -0.106, -0.001, -0.046
-21.651, 11.526, -48.720, -0.802, -2.474, -1.683, -0.108, -0.000, -0.050
-30.713, 7.595, -48.720, -0.761, -2.676, -1.622, -0.110, 0.000, -0.053
-40.700, 1.211, -48.720, -0.749, -3.651, -1.917, -0.113, 0.001, -0.057
-40.700, -5.040, -48.720, -1.276, -3.886, -1.696, -0.115, 0.000, -0.060
-40.700, -11.462, -28.009, -1.026, -4.529, -1.617, -0.118, -0.000, -0.062
-40.700, -18.477, 7.426, -0.317, -5.194, -1.701, -0.121, -0.002, -0.062
-40.700, -21.998, 29.750, 0.033, -5.516, -1.512, -0.125, -0.004, -0.060
-40.700, -24.020, 29.750, 0.168, -4.643, -1.147, -0.127, -0.005, -0.058
-40.005, -23.187, 29.750, -0.175, -4.480, -1.070, -0.131, -0.007, -0.056
-26.435, -25.479, 29.750, -0.390, -3.077, -0.698, -0.132, -0.009, -0.054
-15.587, -22.077, 29.750, -0.384, -2.218, -0.386, -0.134, -0.010, -0.051
-10.244, -14.849, 29.750, -0.451, -0.990, -0.054, -0.135, -0.011, -0.050
-7.920, -7.731, 29.750, -0.605, -0.403, 0.126, -0.135, -0.012, -0.047
-6.231, -0.538, 24.189, -0.512, -0.029, 0.178, -0.136, -0.012, -0.046
-4.217, 2.995, 8.748, -0.460, 0.083, 0.133, -0.136, -0.012, -0.045
-3.841, 2.294, -0.701, 0.038, -0.417, -0.001, -0.136, -0.012, -0.044
-3.280, 0.940, -5.549, 0.109, -0.364, -0.087, -0.137, -0.012, -0.045
-2.940, -0.994, -5.389, -0.500, -0.534, -0.137, -0.137, -0.012, -0.045
-3.310, -2.956, -1.420, -0.464, -0.808, -0.178, -0.137, -0.012, -0.045
-3.414, -4.029, 3.168, -0.061, -0.602, -0.149, -0.137, -0.012, -0.045
-3.454, -3.205, 6.568, 0.040, -0.566, -0.080, -0.137, -0.013, -0.045
-3.448, -2.162, 8.287, 0.115, -0.556, -0.043, -0.138, -0.013, -0.044
-3.397, -0.978, 9.894, 0.172, -0.592, -0.033, -0.138, -0.013, -0.043
-3.585, -0.184, 12.281, 0.161, -0.545, -0.034, -0.138, -0.013, -0.042
-3.699, -0.131, 14.273, 0.130, -0.420, -0.050, -0.138, -0.013, -0.042
-3.614, -0.298, 14.840, 0.110, -0.331, -0.063, -0.139, -0.013, -0.041
-3.542, -0.340, 14.256, 0.096, -0.261, -0.080, -0.139, -0.013, -0.039
-3.500, -1.841, 12.066, 0.050, -0.150, -0.104, -0.139, -0.013, -0.038
-3.582, -3.057, 9.104, -0.004, -0.058, -0.090, -0.140, -0.013, -0.038
-3.596, -2.846, 6.379, -0.057, -0.014, -0.059, -0.140, -0.013, -0.037
-3.733, -2.542, 4.486, -0.099, 0.010, -0.024, -0.140, -0.013, -0.037
-3.920, -1.995, 3.175, -0.145, 0.030, -0.009, -0.140, -0.014, -0.037

-10.913, 0.876, 18.449, -0.246, 0.367, 1.418, -0.001, 0.000, 0.001
-11.381, 4.616, 19.801, -0.249, 0.485, 1.478, -0.001, 0.000, 0.002
-11.525, 11.221, 21.121, -0.272, 0.691, 1.715, -0.002, 0.001, 0.004
-11.733, 18.358, 22.404, -0.268, 0.845, 1.662, -0.003, 0.002, 0.006
-12.031, 23.840, 23.588, -0.182, 0.896, 1.323, -0.004, 0.004, 0.007
-12.338, 25.418, 23.231, -0.153, 1.060, 1.073, -0.005, 0.006, 0.009
-12.890, 23.969, 20.749, -0.172, 1.384, 0.899, -0.006, 0.007, 0.010
-13.922, 22.829, 19.107, -0.161, 1.543, 0.637, -0.007, 0.009, 0.012
