ax,ay,az,dx,dy,dz,x,y,z
-33.441, -11.687, 29.671, -0.125, -1.832, 4.190, -0.081, -0.029, -0.024
-33.496, 0.670, 29.671, -0.076, -1.461, 3.954, -0.083, -0.029, -0.022
-31.087, 14.373, 29.671, 0.280, -1.238, 4.067, -0.085, -0.028, -0.021
-29.860, 27.314, 29.671, 1.024, -1.119, 4.488, -0.087, -0.026, -0.018
-26.270, 34.465, 29.671, 0.945, -0.741, 4.134, -0.089, -0.023, -0.016
-22.445, 38.420, 29.671, 0.519, -0.182, 3.254, -0.091, -0.021, -0.014
-20.559, 37.912, 29.671, 0.152, 0.412, 3.162, -0.093, -0.018, -0.011
-19.163, 37.273, 29.671, -0.207, 0.922, 2.403, -0.094, -0.016, -0.010
-18.172, 37.337, 29.671, -0.441, 1.552, 2.313, -0.095, -0.013, -0.007
-17.345, 38.512, 20.310, -0.454, 1.671, 1.707, -0.096, -0.010, -0.006
-16.412, 39.205, 12.420, -0.433, 2.059, 1.526, -0.098, -0.007, -0.005
-15.898, 39.205, 5.267, -0.429, 1.982, 0.973, -0.099, -0.004, -0.004
-15.278, 38.634, -0.155, 5.652, -0.513, 0.592, -0.100, -0.002, -0.004
-14.974, 35.018, -4.939, 0.330, 1.893, 0.223, -0.101, 0.001, -0.005
-14.674, 29.807, -9.050, 0.177, 1.950, -0.178, -0.102, 0.003, -0.005
-14.486, 24.528, -12.882, 0.032, 1.724, -0.457, -0.103, 0.005, -0.006
-13.975, 19.715, -16.232, -0.127, 1.893, -0.786, -0.104, 0.007, -0.007
-13.497, 16.186, -19.388, -0.246, 1.616, -0.887, -0.105, 0.008, -0.008
-12.789, 13.227, -22.768, -0.439, 1.712, -1.177, -0.106, 0.009, -0.010
-12.076, 10.051, -25.425, -0.549, 1.397, -1.202, -0.107, 0.010, -0.012
-10.664, 6.954, -27.650, -0.729, 1.396, -1.512, -0.108, 0.010, -0.014
-9.392, 3.721, -29.699, -0.636, 1.067, -1.461, -0.108, 0.010, -0.016
-7.838, 1.030, -32.436, -0.593, 0.979, -1.736, -0.109, 0.011, -0.019
-5.779, -1.802, -35.996, -1.096, 0.653, -1.589, -0.109, 0.011, -0.021
-4.010, -6.100, -38.915, -0.996, 0.463, -1.800, -0.110, 0.010, -0.024
-2.292, -8.196, -43.878, -0.904, 0.170, -1.736, -0.110, 0.009, -0.027
-0.691, -11.369, -45.596, -0.979, -0.155, -1.447, -0.110, 0.009, -0.030
0.062, -10.779, -47.376, -0.995, 0.242, -1.286, -0.110, 0.008, -0.033
-0.144, -9.445, -48.799, -1.214, -0.926, -1.253, -0.110, 0.007, -0.037
-1.874, -6.730, -48.799, -1.599, -1.350, -1.063, -0.110, 0.007, -0.041
-5.354, -3.270, -47.824, -1.827, -1.602, -0.786, -0.110, 0.006, -0.044
-9.757, 1.527, -45.216, -1.483, -1.999, -0.617, -0.111, 0.006, -0.047
-14.980, 8.276, -42.498, -2.000, -2.678, -0.497, -0.112, 0.007, -0.051
-20.990, 14.870, -36.343, -2.117, -3.111, -0.359, -0.114, 0.008, -0.054
-26.688, 21.842, -27.671, -1.552, -3.140, -0.266, -0.115, 0.010, -0.056
-30.867, 27.089, -15.451, -0.939, -3.939, -0.383, -0.118, 0.012, -0.057
-34.844, 29.417, -0.773, 0.869, -4.774, -0.590, -0.120, 0.013, -0.057
-36.598, 25.735, 14.457, 0.644, -3.979, -1.131, -0.123, 0.016, -0.056
-36.549, 16.546, 26.424, 1.090, -3.475, -1.505, -0.125, 0.017, -0.055
-33.630, 4.812, 29.671, 1.071, -3.602, -2.154, -0.128, 0.017, -0.052
