ax,ay,az,dx,dy,dz,x,y,z
-26.257, 4.019, -25.189, 0.613, 2.521, -0.003, -0.037, 0.009, 0.019
-25.350, 5.857, -27.047, 0.535, 2.142, -0.022, -0.039, 0.010, 0.017
-24.463, 7.148, -28.633, 0.669, 2.297, -0.079, -0.041, 0.010, 0.015
-23.628, 8.578, -31.903, 0.722, 1.948, -0.122, -0.042, 0.011, 0.013
-22.172, 11.609, -38.379, 0.937, 2.078, -0.181, -0.044, 0.012, 0.010
-19.616, 16.266, -47.652, 0.750, 1.712, -0.239, -0.045, 0.013, 0.007
-16.813, 15.545, -48.799, 0.686, 1.680, -0.507, -0.047, 0.014, 0.003
-13.819, 10.350, -48.799, 0.498, 1.169, -0.706, -0.048, 0.015, -0.000
-10.562, 1.153, -48.799, 0.414, 0.849, -1.015, -0.049, 0.015, -0.004
-8.823, -6.439, -48.799, -0.511, 0.291, -0.968, -0.049, 0.015, -0.007
-6.435, -17.626, -48.799, -0.422, -0.219, -0.995, -0.050, 0.013, -0.011
-7.256, -22.464, -48.799, 0.027, -0.681, -0.668, -0.050, 0.012, -0.014
-8.668, -23.740, -48.799, 0.042, -1.303, -0.341, -0.051, 0.010, -0.018
-11.477, -19.837, -48.799, -0.086, -1.789, 0.055, -0.052, 0.008, -0.022
-14.377, -13.959, -45.997, -0.211, -1.939, 0.364, -0.053, 0.007, -0.025
-17.570, -7.717, -39.662, -0.369, -2.491, 0.659, -0.054, 0.007, -0.029
-20.439, -2.465, -34.561, -0.421, -2.449, 0.715, -0.055, 0.007, -0.031
-22.997, 0.120, -28.768, 0.266, -2.656, 0.758, -0.057, 0.006, -0.033
-24.999, 1.571, -22.212, 0.285, -3.190, 0.865, -0.059, 0.007, -0.035
-26.266, 2.606, -16.773, 0.269, -3.346, 0.868, -0.061, 0.007, -0.036
-27.405, 2.975, -14.307, 0.222, -3.068, 0.760, -0.063, 0.007, -0.037
-28.156, 0.262, -12.208, 0.215, -3.157, 0.732, -0.064, 0.007, -0.038
-28.976, -2.947, -4.640, -0.451, -3.827, 0.828, -0.067, 0.007, -0.038
-29.025, -3.965, 6.933, 0.031, -3.385, 0.920, -0.069, 0.006, -0.038
-28.066, -4.023, 21.282, 0.230, -3.141, 0.908, -0.071, 0.006, -0.037
-25.761, -1.575, 29.671, 0.404, -3.453, 1.117, -0.073, 0.006, -0.034
-22.686, 0.761, 29.671, 0.313, -2.899, 1.038, -0.074, 0.006, -0.033
-18.716, 4.865, 29.671, -0.033, -2.919, 1.214, -0.076, 0.006, -0.030
-14.819, 10.763, 29.671, -0.340, -2.200, 1.106, -0.077, 0.007, -0.028
